Company_Name,Dependent-Company Status,Age of company in years,Internet Activity Score,Industry of company,Focus functions of company,Country of company,Number of Investors in Angel and or VC,Number of of advisors,Team size all employees,Number of of repeat investors,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Consulting experience?,Product or service company?,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Machine Learning based business,Predictive Analytics business,Big Data Business,Owns data or not? (monetization of data) e.g. Factual,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Years of education,Skills score,Team Composition score,Pricing Strategy,google page rank of company website,Percent_skill_Data Science,Percent_skill_Business Strategy,Renown score
Company1,Success,No Info,-1,l ,operation,United States,0,2,15,4,No,Small,No,No,No,Service,Private,No,Both,Platform,Global,Linear,Yes,No,No,No,No,Online,B2C,21,0,Low,Yes,9626884,0,0,0
Company2,Success,3,125,Market Research|Marketing|Crowdfunding,"Marketing, sales",United States,0,0,20,0,Yes,Large,Yes,Yes,No,Product,Public,Yes,Both,Platform,Local,Non-Linear,No,Yes,Yes,Yes,Yes,Online,B2C,21,34,High,Yes,1067034,8.823529412,21.76470588,8
Company3,Success,3,455,Analytics|Cloud Computing|Software Development,operations,United States,0,0,10,0,Yes,Medium,No,No,No,Both,Private,Yes,Both,cloud,Local,Non-Linear,No,No,Yes,Yes,No,Online,B2B,18,36,High,Yes,71391,3.846153846,17.09401709,9
Company4,Success,5,-99,Mobile|Analytics,Marketing & Sales,United States,0,0,50,0,No,Large,Yes,Yes,No,Product,Public,Yes,Structured,Platform,Local,Non-Linear,No,No,No,No,No,Online,B2C,18,15.5,Medium,Yes,11847,0,0,5
Company5,Success,4,496,Analytics|Marketing|Enterprise Software,Marketing & Sales,United States,0,1,40,0,No,Small,No,No,No,Product,Public,Yes,Both,Platform,Local,Non-Linear,Yes,No,No,Yes,No,Online,B2B,18,23,Medium,Yes,201814,0,0,6
Company6,Success,4,106,Food & Beverages|Hospitality,analytics,United States,0,0,14,2,No,Medium,No,No,No,Service,Public,Yes,Both,Platform,Local,Non-Linear,No,No,No,Yes,Yes,Online,B2B,21,25,Medium,Yes,591816,3.125,6.25,6
Company7,Success,3,39,Analytics,Research,United States,0,9,15,4,No,Small,Yes,Yes,No,Both,Public,Yes,Unstructured,Platform,Local,Non-Linear,No,No,Yes,Yes,No,Online,B2B,25,21,Medium,Yes,2345574,22.22222222,0,0
Company8,Success,4,139,Cloud Computing|Network / Hosting / Infrastructure,Computing,United States,0,4,40,0,No,Large,Yes,Yes,No,Both,Private,No,Both,Platform,Local,Non-Linear,No,No,Yes,Yes,No,Online,B2B,21,4.5,Medium,Yes,1015027,0,0,2
Company9,Success,3,306,Analytics|Mobile|Marketing,Marketing,United States,0,0,50,0,Yes,Medium,Yes,Yes,No,Product,Public,Yes,Both,Platform,Local,Non-Linear,No,No,No,Yes,Yes,Online,B2B,21,48,Low,No,256921,0,19.77124183,5
Company10,Success,1,53,Healthcare|Pharmaceuticals|Analytics,Research,United States,0,4,3,0,Yes,Medium,Yes,Yes,No,Product,Public,Yes,Structured,Platform,Global,Non-Linear,No,No,Yes,Yes,No,Online,B2B,25,25.5,Medium,Yes,3639779,23.95833333,0,4
