지역,취업자수 평균,대학생 수,학교생활 만족도(매우만족),초등학교수,,,,,,,,,취업자수 평균,대학생 수,학교생활 만족도(매우만족),등학교수
서울특별시,62.14,563889,25.6,607,,,,,,,,,,,,
부산광역시,58.06,230984,28.1,304,,,,,,,,,,,,
대구광역시,58.91,114809,12,230,,,,,,,,,,,,
인천광역시,64.23,67160,37.8,253,,,,,,,,,,,,
광주광역시,61.025,108225,25.9,155,,,,,,,,,,,,
대전광역시,63.4,134526,26.4,148,,,,,,,,,,,,
울산광역시,60.67,32080,26.1,120,,,,,,,,,,,,
세종특별자치시,64.44,22558,19.1,49,,,,,,,,,,,,
경기도,62.8,433276,25.2,"1,298",,,,,,,,,,,,
강원도,63.25,116054,24.5,347,,,,,,,,,,,,
충청북도,65.26,116655,22.6,258,,,,,,,,,,,,
충청남도,64.64,184548,27.9,410,,,,,,,,,,,,
전라북도,61.45,116780,16.7,421,,,,,,,,,,,,
전라남도,65.4,69626,28,429,,,,,,,,,,,,
경상북도,63.71,186264,16.1,473,,,,,,,,,,,,
경상남도,63.15,107580,27.1,505,,,,,,,,,,,,
제주도특별자치시,68.33,28773,35.1,113,,,,,,,,,,,,
