지역,구군,인구 십만명당 자살률 a),1인가구(독거노인 제외) 비율 a),가족관계 만족도 b)
서울특별시,종로구,0.8318,0.0057,0.5949
서울특별시,중구,0.5462,0.0107,0.2329
서울특별시,용산구,0.7288,0.0211,0.2009
서울특별시,성동구,0.7288,0.0791,0.0937
서울특별시,광진구,0.9434,0.0051,0.2058
서울특별시,동대문구,0.6459,0.0155,0.1147
서울특별시,중랑구,0.6059,0.2462,0.1301
서울특별시,성북구,0.7516,0.1311,0.1845
서울특별시,강북구,0.4295,0.28,0.0747
서울특별시,도봉구,0.8072,0.7646,0.092
서울특별시,노원구,0.8167,0.7178,0.1601
서울특별시,은평구,0.6459,0.5152,0.0579
서울특별시,서대문구,0.721,0.0426,0.1739
서울특별시,마포구,0.7769,0.0107,0.2081
서울특별시,양천구,0.8748,0.8489,0.1992
서울특별시,강서구,0.7804,0.1696,0.0597
서울특별시,구로구,0.7663,0.3458,0.2099
서울특별시,금천구,0.5693,0.039,0.1131
서울특별시,영등포구,0.6459,0.0282,0.1097
서울특별시,동작구,0.7804,0.0269,0.0949
서울특별시,관악구,0.5601,0,0.1137
서울특별시,서초구,0.9169,0.3382,0.1014
서울특별시,강남구,0.8039,0.1103,0.0619
서울특별시,송파구,0.8724,0.3927,0.2266
서울특별시,강동구,0.7479,0.4657,0.1738
부산광역시,중구,0.4854,0.0191,0.1031
부산광역시,서구,0.4807,0.273,0.3304
부산광역시,동구,0.6503,0.3158,0.124
부산광역시,영도구,0.1888,0.5317,0.211
부산광역시,부산진구,0.384,0.1645,0.1939
부산광역시,동래구,0.8039,0.7451,0.1052
부산광역시,남구,0.5462,0.4657,0.0707
부산광역시,북구,0.6149,0.7833,0.2075
부산광역시,해운대구,0.5135,0.7178,0.1873
부산광역시,사하구,0.7804,0.5317,0.124
부산광역시,금정구,0.8289,0.1914,0.3173
부산광역시,강서구,0.8623,0.5968,0.1369
부산광역시,연제구,0.7553,0.5481,0.1423
부산광역시,수영구,0.5693,0.2271,0.02
부산광역시,사상구,0.1423,0.3458,0.1506
부산광역시,기장군,0.676,0.6965,0.2674
대구광역시,중구,0.721,0.034,0.1564
대구광역시,동구,0.5693,0.5726,0.0047
대구광역시,서구,0.1795,0.4329,0.0102
대구광역시,남구,0.5135,0.0296,0.1265
대구광역시,북구,0.8167,0.4087,0.1683
대구광역시,수성구,0.9287,0.8339,0.2217
대구광역시,달서구,0.676,0.5235,0.0848
대구광역시,달성군,0.8135,0.6892,0.1745
인천광역시,중구,0.5786,0.0551,0.3622
인천광역시,동구,0.8198,0.818,0.2316
인천광역시,연수구,0.794,0.6965,0.155
인천광역시,남동구,0.6327,0.5645,0.0912
인천광역시,부평구,0.6589,0.6669,0.1487
인천광역시,계양구,0.7249,0.7108,0.3007
인천광역시,서구,0.8039,0.7316,0.1733
인천광역시,미추홀구,0.1531,0.287,0.0992
인천광역시,강화군,0.6104,0.8762,0.2187
인천광역시,옹진군,0.0001,0.0076,0.5856
광주광역시,동구,0.5415,0.0172,0.3988
광주광역시,서구,0.8198,0.1749,0.2516
광주광역시,남구,0.8434,0.5399,0.2555
광주광역시,북구,0.7249,0.2662,0.8542
광주광역시,광산구,0.7249,0.3307,0.7737
대전광역시,동구,0.3662,0.0372,0.9913
대전광역시,중구,0.6844,0.4575,0.6461
대전광역시,서구,0.7249,0.1065,0.0456
대전광역시,유성구,0.8198,0.0282,0.6728
대전광역시,대덕구,0.713,0.2662,0.7195
울산광역시,중구,0.8489,0.6207,0.1881
울산광역시,남구,0.6059,0.2662,0.2884
울산광역시,동구,0.6459,0.4411,0.3044
울산광역시,북구,0.8772,0.818,0.2206
울산광역시,울주군,0.7327,0.6285,0.4697
세종특별자치시,세종시,0.7288,0.1267,0.9541
경기도,수원시,0.7699,0.2271,0.7153
경기도,성남시,0.7804,0.3158,0.3801
경기도,의정부시,0.5135,0.6594,0.637
경기도,안양시,0.7804,0.8068,0.4559
경기도,부천시,0.7441,0.6048,0.7395
경기도,광명시,0.8909,0.818,0.8309
경기도,평택시,0.717,0.2334,0.4319
경기도,동두천시,0.2293,0.5968,0.9184
경기도,안산시,0.4947,0.2029,0.3393
경기도,고양시,0.8434,0.7316,0.4319
경기도,과천시,0.8974,0.9549,0.7737
경기도,구리시,0.8649,0.771,0.2217
경기도,남양주시,0.8724,0.9136,0.637
경기도,오산시,0.8953,0.1495,0.6506
경기도,시흥시,0.709,0.3158,0.0886
경기도,군포시,0.9349,0.8124,0.8942
경기도,의왕시,0.8434,0.8537,0.7551
경기도,하남시,0.7627,0.6285,0.1873
경기도,용인시,0.8377,0.771,0.707
경기도,파주시,0.6718,0.6744,0.7845
경기도,이천시,0.7516,0.507,0.3348
경기도,안성시,0.6371,0.28,0.4224
경기도,김포시,0.8772,0.771,0.3663
경기도,화성시,0.7365,0.3382,0.781
경기도,광주시,0.8259,0.6669,0.5573
