지역,구군,여가활용 만족도 b)
서울특별시,종로구,0.8409
서울특별시,중구,0.6224
서울특별시,용산구,0.6381
서울특별시,성동구,0.5657
서울특별시,광진구,0.674
서울특별시,동대문구,0.5115
서울특별시,중랑구,0.5393
서울특별시,성북구,0.6416
서울특별시,강북구,0.362
서울특별시,도봉구,0.8769
서울특별시,노원구,0.5926
서울특별시,은평구,0.67
서울특별시,서대문구,0.6592
서울특별시,마포구,0.6999
서울특별시,양천구,0.7301
서울특별시,강서구,0.4783
서울특별시,구로구,0.7789
서울특별시,금천구,0.5515
서울특별시,영등포구,0.6281
서울특별시,동작구,0.5707
서울특별시,관악구,0.7094
서울특별시,서초구,0.5054
서울특별시,강남구,0.2732
서울특별시,송파구,0.6493
서울특별시,강동구,0.5836
부산광역시,중구,0.1418
부산광역시,서구,0.0908
부산광역시,동구,0.0241
부산광역시,영도구,0.0755
부산광역시,부산진구,0.1418
부산광역시,동래구,0.0971
부산광역시,남구,0.1418
부산광역시,북구,0.0369
부산광역시,해운대구,0.1817
부산광역시,사하구,0.0483
부산광역시,금정구,0.0971
부산광역시,강서구,0.0737
부산광역시,연제구,0.072
부산광역시,수영구,0.1282
부산광역시,사상구,0.0331
부산광역시,기장군,0.1107
대구광역시,중구,0.6446
대구광역시,동구,0.2094
대구광역시,서구,0.4479
대구광역시,남구,0.4036
대구광역시,북구,0.6586
대구광역시,수성구,0.6018
대구광역시,달서구,0.5328
대구광역시,달성군,0.5477
인천광역시,중구,0.3525
인천광역시,동구,0.6966
인천광역시,연수구,0.4022
인천광역시,남동구,0.2842
인천광역시,부평구,0.2706
인천광역시,계양구,0.5938
인천광역시,서구,0.3673
인천광역시,미추홀구,0.3521
인천광역시,강화군,0.4817
인천광역시,옹진군,0.6022
광주광역시,동구,0.3374
광주광역시,서구,0.1256
광주광역시,남구,0.3988
광주광역시,북구,0.4828
광주광역시,광산구,0.342
대전광역시,동구,0.3274
대전광역시,중구,0.6022
대전광역시,서구,0.6918
대전광역시,유성구,0.777
대전광역시,대덕구,0.6564
울산광역시,중구,0.9114
울산광역시,남구,0.8316
울산광역시,동구,0.9632
울산광역시,북구,0.7571
울산광역시,울주군,0.8823
세종특별자치시,세종시,0.7726
경기도,수원시,0.761
경기도,성남시,0.8585
경기도,의정부시,0.4678
경기도,안양시,0.7492
경기도,부천시,0.3237
경기도,광명시,0.5378
경기도,평택시,0.812
경기도,동두천시,0.4778
경기도,안산시,0.5823
경기도,고양시,0.7801
경기도,과천시,0.9531
경기도,구리시,0.8316
경기도,남양주시,0.5128
경기도,오산시,0.5626
경기도,시흥시,0.6493
경기도,군포시,0.9316
경기도,의왕시,0.7571
경기도,하남시,0.8409
경기도,용인시,0.5626
경기도,파주시,0.8379
경기도,이천시,0.3148
경기도,안성시,0.6446
경기도,김포시,0.7532
경기도,화성시,0.4628
경기도,광주시,0.6305
경기도,양주시,0.5774
경기도,포천시,0.4828
경기도,여주시,0.4429
경기도,연천군,0.4479
경기도,가평군,0.9424
경기도,양평군,0.9932
강원도,춘천시,0.342
강원도,원주시,0.5577
강원도,강릉시,0.5969
강원도,동해시,0.6539
강원도,태백시,0.1719
강원도,속초시,0.433
강원도,삼척시,0.4578
강원도,홍천군,0.3466
강원도,횡성군,0.0868
강원도,영월군,0.3328
강원도,평창군,0.3748
강원도,정선군,0.213
강원도,철원군,0.2317
강원도,화천군,0.7371
강원도,양구군,0.5675
강원도,인제군,0.5178
강원도,고성군,0.0971
강원도,양양군,0.4928
충청북도,충주시,0.438
충청북도,제천시,0.7571
충청북도,청주시,0.5675
충청북도,보은군,0.6162
충청북도,옥천군,0.7288
충청북도,영동군,0.7763
충청북도,진천군,0.3606
충청북도,괴산군,0.6813
충청북도,음성군,0.9211
충청북도,단양군,0.438
충청북도,증평군,0.791
충청남도,천안시,0.9697
충청남도,공주시,0.7801
충청남도,보령시,0.8919
충청남도,아산시,0.9981
충청남도,서산시,0.6813
충청남도,논산시,0.941
충청남도,계룡시,0.8154
충청남도,당진시,0.6539
충청남도,금산군,0.9913
충청남도,부여군,0.9952
충청남도,서천군,1
충청남도,청양군,0.9862
충청남도,홍성군,0.9997
충청남도,예산군,0.9466
충청남도,태안군,0.3328
전라북도,전주시,0.4232
전라북도,군산시,0.3653
전라북도,익산시,0.1505
전라북도,정읍시,0.9211
전라북도,남원시,0.7874
전라북도,김제시,0.2355
전라북도,완주군,0.1015
전라북도,진안군,0.7077
전라북도,무주군,0.6258
전라북도,장수군,0.761
전라북도,임실군,0.1447
전라북도,순창군,0.6162
전라북도,고창군,0.3015
전라북도,부안군,0.0577
전라남도,목포시,0.3741
전라남도,여수시,0.3237
전라남도,순천시,0.8859
전라남도,나주시,0.5463
전라남도,광양시,0.7673
전라남도,담양군,0.7123
전라남도,곡성군,0.5659
전라남도,구례군,0.6272
전라남도,고흥군,0.549
전라남도,보성군,0.3272
전라남도,화순군,0.9691
전라남도,장흥군,0.3295
전라남도,강진군,0.6876
전라남도,해남군,0.4363
전라남도,영암군,0.4384
전라남도,무안군,0.8533
전라남도,함평군,0.7818
전라남도,영광군,0.3907
전라남도,장성군,0.2256
전라남도,완도군,0.6252
전라남도,진도군,0.1882
전라남도,신안군,0.2608
경상북도,포항시,0.3939
경상북도,경주시,0.3653
경상북도,김천시,0.1256
경상북도,안동시,0.5128
경상북도,구미시,0.2928
경상북도,영주시,0.0829
경상북도,영천시,0.3748
경상북도,상주시,0.3606
경상북도,문경시,0.3559
경상북도,경산시,0.4928
경상북도,군위군,0.2473
경상북도,의성군,0.1687
경상북도,청송군,0.9052
경상북도,영양군,0.1817
경상북도,영덕군,0.118
경상북도,청도군,0.6946
경상북도,고령군,0.6305
경상북도,성주군,0.1335
경상북도,칠곡군,0.2553
경상북도,예천군,0.4828
경상북도,봉화군,0.1987
경상북도,울진군,0.342
경상북도,울릉군,0.5228
경상남도,진주시,0.2885
경상남도,통영시,0.0162
경상남도,사천시,0.0773
경상남도,김해시,0.0737
경상남도,밀양시,0.1884
경상남도,거제시,0.0483
경상남도,양산시,0.0607
경상남도,창원시,0.123
경상남도,의령군,0.0178
경상남도,함안군,0.4828
경상남도,창녕군,0.0214
경상남도,고성군,0.0423
경상남도,남해군,0.1447
경상남도,하동군,0.0066
경상남도,산청군,0.1817
경상남도,함양군,0.1656
경상남도,거창군,0.2433
경상남도,합천군,0.1084
제주특별자치도,제주시,0.8585
제주특별자치도,서귀포시,0.8585
